Record_ID,Location_Name,Location_Type,Country,ISO2,ISO3,Region,Admin1_Name,Latitude,Longitude,Timezone,Population,Population_Source,Population_Bamwor,Population_SimpleMaps,Population_Starting_List,Population_Size_Class,Capital_Classification,Country_GDP_Per_Capita_USD,Country_GDP_PPP_USD,OpenStreetMap_URL,Wikipedia_Search_URL,Image_Research_URL,Primary_Source,Starting_List_Included
322,Baotou,City / populated place,China,CN,CHN,East and Southeast Asia,Inner Mongolia,40.651600,109.843890,Asia/Shanghai,"2,709,378",Uploaded starting list,"2,150,000","2,700,000","2,709,378",1–4.999 million,Not classified as capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=40.651600&mlon=109.843890#map=10/40.651600/109.843890,https://en.wikipedia.org/w/index.php?search=Baotou%2C+China,https://commons.wikimedia.org/w/index.php?search=Baotou%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
323,Manchester,City / administrative seat,United Kingdom,GB,GBR,Europe,England,53.480950,-2.237430,Europe/London,"2,705,000",SimpleMaps,"568,996","2,705,000",,1–4.999 million,Lower-order administrative capital,"52,500.00","3,636,000,000,000.00",https://www.openstreetmap.org/?mlat=53.480950&mlon=-2.237430#map=10/53.480950/-2.237430,https://en.wikipedia.org/w/index.php?search=Manchester%2C+United+Kingdom,https://commons.wikimedia.org/w/index.php?search=Manchester%2C+United+Kingdom&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
324,Cawnpore,City / urban area (source-defined),India,IN,IND,Asia,Uttar Pradesh,26.472500,80.331100,,"2,701,324",SimpleMaps,,"2,701,324",,1–4.999 million,Not classified as capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=26.472500&mlon=80.331100#map=10/26.472500/80.331100,https://en.wikipedia.org/w/index.php?search=Cawnpore%2C+India,https://commons.wikimedia.org/w/index.php?search=Cawnpore%2C+India&title=Special:MediaSearch&type=image,SimpleMaps world-cities community mirror,FALSE
325,Nanping,City / administrative seat,China,CN,CHN,East and Southeast Asia,Fujian,26.645000,118.173610,Asia/Shanghai,"2,690,000",SimpleMaps,"467,875","2,690,000","2,680,645",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=26.645000&mlon=118.173610#map=10/26.645000/118.173610,https://en.wikipedia.org/w/index.php?search=Nanping%2C+China,https://commons.wikimedia.org/w/index.php?search=Nanping%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
326,Abuja,City / administrative seat,Nigeria,NG,NGA,Africa,FCT,9.057850,7.495080,Africa/Lagos,"2,690,000",Bamwor,"2,690,000","1,235,880",,1–4.999 million,National capital,"5,700.00","1,318,000,000,000.00",https://www.openstreetmap.org/?mlat=9.057850&mlon=7.495080#map=10/9.057850/7.495080,https://en.wikipedia.org/w/index.php?search=Abuja%2C+Nigeria,https://commons.wikimedia.org/w/index.php?search=Abuja%2C+Nigeria&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
327,Gazipur,City / administrative seat,Bangladesh,BD,BGD,South Asia,Dhaka Division,23.998440,90.422340,Asia/Dhaka,"2,674,697",Bamwor,"2,674,697",,,1–4.999 million,Lower-order administrative capital,"8,500.00","1,473,000,000,000.00",https://www.openstreetmap.org/?mlat=23.998440&mlon=90.422340#map=10/23.998440/90.422340,https://en.wikipedia.org/w/index.php?search=Gazipur%2C+Bangladesh,https://commons.wikimedia.org/w/index.php?search=Gazipur%2C+Bangladesh&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
328,Chaozhou,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guangdong,23.653960,116.622620,Asia/Shanghai,"2,656,600",Uploaded starting list,"1,750,945","2,656,600","2,656,600",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=23.653960&mlon=116.622620#map=10/23.653960/116.622620,https://en.wikipedia.org/w/index.php?search=Chaozhou%2C+China,https://commons.wikimedia.org/w/index.php?search=Chaozhou%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
329,Dakar,City / administrative seat,Senegal,SN,SEN,Africa,Dakar,14.693700,-17.444060,Africa/Dakar,"2,646,503",Bamwor,"2,646,503","1,146,053",,1–4.999 million,National capital,"4,500.00","83,183,000,000.00",https://www.openstreetmap.org/?mlat=14.693700&mlon=-17.444060#map=10/14.693700/-17.444060,https://en.wikipedia.org/w/index.php?search=Dakar%2C+Senegal,https://commons.wikimedia.org/w/index.php?search=Dakar%2C+Senegal&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
330,Huai'an,City / populated place,China,CN,CHN,East and Southeast Asia,Jiangsu,33.588610,119.019170,Asia/Shanghai,"2,632,789",Uploaded starting list,"2,494,013","1,264,000","2,632,789",1–4.999 million,Not classified as capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=33.588610&mlon=119.019170#map=10/33.588610/119.019170,https://en.wikipedia.org/w/index.php?search=Huai%27an%2C+China,https://commons.wikimedia.org/w/index.php?search=Huai%27an%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
331,Haiphong,City / administrative seat,Vietnam,VN,VNM,East and Southeast Asia,Hai Phong,20.864810,106.683450,Asia/Bangkok,"2,625,200",Bamwor,"2,625,200","2,103,500",,1–4.999 million,First-order administrative capital,"14,400.00","1,456,000,000,000.00",https://www.openstreetmap.org/?mlat=20.864810&mlon=106.683450#map=10/20.864810/106.683450,https://en.wikipedia.org/w/index.php?search=Haiphong%2C+Vietnam,https://commons.wikimedia.org/w/index.php?search=Haiphong%2C+Vietnam&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
332,Longba,City / urban area (source-defined),China,CN,CHN,Asia,Gansu,33.535000,105.349000,,"2,614,000",SimpleMaps,,"2,614,000",,1–4.999 million,Not classified as capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=33.535000&mlon=105.349000#map=10/33.535000/105.349000,https://en.wikipedia.org/w/index.php?search=Longba%2C+China,https://commons.wikimedia.org/w/index.php?search=Longba%2C+China&title=Special:MediaSearch&type=image,SimpleMaps world-cities community mirror,FALSE
333,Yunfu,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guangdong,22.927870,112.038090,Asia/Shanghai,"2,612,800",Bamwor,"2,612,800","2,526,900","2,383,350",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=22.927870&mlon=112.038090#map=10/22.927870/112.038090,https://en.wikipedia.org/w/index.php?search=Yunfu%2C+China,https://commons.wikimedia.org/w/index.php?search=Yunfu%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
334,Antananarivo,City / administrative seat,Madagascar,MG,MDG,Africa,Analamanga,-18.913680,47.536130,Indian/Antananarivo,"2,610,000",SimpleMaps,"1,349,501","2,610,000",,1–4.999 million,National capital,"1,700.00","52,968,000,000.00",https://www.openstreetmap.org/?mlat=-18.913680&mlon=47.536130#map=10/-18.913680/47.536130,https://en.wikipedia.org/w/index.php?search=Antananarivo%2C+Madagascar,https://commons.wikimedia.org/w/index.php?search=Antananarivo%2C+Madagascar&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
335,Gulou,City / administrative seat,China,CN,CHN,Asia,Fujian,26.086500,119.298000,Asia/Shanghai,"2,606,000",Uploaded starting list,,,"2,606,000",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=26.086500&mlon=119.298000#map=10/26.086500/119.298000,https://en.wikipedia.org/w/index.php?search=Gulou%2C+China,https://commons.wikimedia.org/w/index.php?search=Gulou%2C+China&title=Special:MediaSearch&type=image,Uploaded starting list,TRUE
336,Yangjiang,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guangdong,21.855630,111.962720,Asia/Shanghai,"2,602,959",Uploaded starting list,"1,292,987","2,555,600","2,602,959",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=21.855630&mlon=111.962720#map=10/21.855630/111.962720,https://en.wikipedia.org/w/index.php?search=Yangjiang%2C+China,https://commons.wikimedia.org/w/index.php?search=Yangjiang%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
337,Navi Mumbai,City section / populated-place subdivision,India,IN,IND,South Asia,Maharashtra,19.036810,73.015820,Asia/Kolkata,"2,600,000",Bamwor,"2,600,000",,,1–4.999 million,Not classified as capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=19.036810&mlon=73.015820#map=10/19.036810/73.015820,https://en.wikipedia.org/w/index.php?search=Navi+Mumbai%2C+India,https://commons.wikimedia.org/w/index.php?search=Navi+Mumbai%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
338,Basrah,City / administrative seat,Iraq,IQ,IRQ,Middle East,Basra,30.508520,47.780400,Asia/Baghdad,"2,600,000",GeoNames,"1,326,564","1,225,793",,1–4.999 million,First-order administrative capital,"12,700.00","585,887,000,000.00",https://www.openstreetmap.org/?mlat=30.508520&mlon=47.780400#map=10/30.508520/47.780400,https://en.wikipedia.org/w/index.php?search=Basrah%2C+Iraq,https://commons.wikimedia.org/w/index.php?search=Basrah%2C+Iraq&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
339,Mogadishu,City / administrative seat,Somalia,SO,SOM,Africa,Banaadir,2.037110,45.343750,Africa/Mogadishu,"2,587,183",Bamwor,"2,587,183","2,120,000",,1–4.999 million,National capital,"1,400.00","26,770,000,000.00",https://www.openstreetmap.org/?mlat=2.037110&mlon=45.343750#map=10/2.037110/45.343750,https://en.wikipedia.org/w/index.php?search=Mogadishu%2C+Somalia,https://commons.wikimedia.org/w/index.php?search=Mogadishu%2C+Somalia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
340,Santo Domingo,City / administrative seat,Dominican Republic,DO,DOM,Central America and Caribbean,Nacional,18.471860,-69.892320,America/Santo_Domingo,"2,581,827",SimpleMaps,"2,201,941","2,581,827",,1–4.999 million,National capital,"24,200.00","276,884,000,000.00",https://www.openstreetmap.org/?mlat=18.471860&mlon=-69.892320#map=10/18.471860/-69.892320,https://en.wikipedia.org/w/index.php?search=Santo+Domingo%2C+Dominican+Republic,https://commons.wikimedia.org/w/index.php?search=Santo+Domingo%2C+Dominican+Republic&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
341,Sanming,City / administrative seat,China,CN,CHN,East and Southeast Asia,Fujian,26.248610,117.618610,Asia/Shanghai,"2,580,000",SimpleMaps,"602,166","2,580,000","2,486,450",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=26.248610&mlon=117.618610#map=10/26.248610/117.618610,https://en.wikipedia.org/w/index.php?search=Sanming%2C+China,https://commons.wikimedia.org/w/index.php?search=Sanming%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
342,Xuancheng,City / administrative seat,China,CN,CHN,East and Southeast Asia,Anhui,30.952500,118.755280,Asia/Shanghai,"2,580,000",SimpleMaps,"774,332","2,580,000","2,500,063",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=30.952500&mlon=118.755280#map=10/30.952500/118.755280,https://en.wikipedia.org/w/index.php?search=Xuancheng%2C+China,https://commons.wikimedia.org/w/index.php?search=Xuancheng%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
343,Daegu,City / administrative seat,South Korea,KR,KOR,East and Southeast Asia,Daegu,35.870280,128.591110,Asia/Seoul,"2,566,540",GeoNames,"2,365,523","2,461,002",,1–4.999 million,First-order administrative capital,"50,400.00","2,607,000,000,000.00",https://www.openstreetmap.org/?mlat=35.870280&mlon=128.591110#map=10/35.870280/128.591110,https://en.wikipedia.org/w/index.php?search=Daegu%2C+South+Korea,https://commons.wikimedia.org/w/index.php?search=Daegu%2C+South+Korea&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
344,Bekasi,City / populated place,Indonesia,ID,IDN,East and Southeast Asia,West Java,-6.234900,106.989600,Asia/Jakarta,"2,564,940",Bamwor,"2,564,940","2,381,053",,1–4.999 million,Not classified as capital,"14,500.00","4,102,000,000,000.00",https://www.openstreetmap.org/?mlat=-6.234900&mlon=106.989600#map=10/-6.234900/106.989600,https://en.wikipedia.org/w/index.php?search=Bekasi%2C+Indonesia,https://commons.wikimedia.org/w/index.php?search=Bekasi%2C+Indonesia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
345,Jiamusi,City / administrative seat,China,CN,CHN,East and Southeast Asia,Heilongjiang,46.797110,130.311180,Asia/Shanghai,"2,552,097",Uploaded starting list,"549,549","2,360,000","2,552,097",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=46.797110&mlon=130.311180#map=10/46.797110/130.311180,https://en.wikipedia.org/w/index.php?search=Jiamusi%2C+China,https://commons.wikimedia.org/w/index.php?search=Jiamusi%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
346,Kumasi,City / administrative seat,Ghana,GH,GHA,Africa,Ashanti,6.688480,-1.624430,Africa/Accra,"2,544,530",Bamwor,"2,544,530","2,069,350",,1–4.999 million,First-order administrative capital,"7,100.00","243,124,000,000.00",https://www.openstreetmap.org/?mlat=6.688480&mlon=-1.624430#map=10/6.688480/-1.624430,https://en.wikipedia.org/w/index.php?search=Kumasi%2C+Ghana,https://commons.wikimedia.org/w/index.php?search=Kumasi%2C+Ghana&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
347,Medellin,City / administrative seat,Colombia,CO,COL,South America,Antioquia,6.245000,-75.571510,America/Bogota,"2,529,403",SimpleMaps,"1,999,979","2,529,403",,1–4.999 million,First-order administrative capital,"18,500.00","978,592,000,000.00",https://www.openstreetmap.org/?mlat=6.245000&mlon=-75.571510#map=10/6.245000/-75.571510,https://en.wikipedia.org/w/index.php?search=Medellin%2C+Colombia,https://commons.wikimedia.org/w/index.php?search=Medellin%2C+Colombia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
348,Gujranwala,City / administrative seat,Pakistan,PK,PAK,South Asia,Punjab,32.155670,74.187050,Asia/Karachi,"2,511,118",Bamwor,"2,511,118","2,027,001",,1–4.999 million,Lower-order administrative capital,"5,500.00","1,390,000,000,000.00",https://www.openstreetmap.org/?mlat=32.155670&mlon=74.187050#map=10/32.155670/74.187050,https://en.wikipedia.org/w/index.php?search=Gujranwala%2C+Pakistan,https://commons.wikimedia.org/w/index.php?search=Gujranwala%2C+Pakistan&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
349,Lishui,City / administrative seat,China,CN,CHN,East and Southeast Asia,Zhejiang,28.460420,119.910290,Asia/Shanghai,"2,507,396",Uploaded starting list,"451,418","2,116,957","2,507,396",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=28.460420&mlon=119.910290#map=10/28.460420/119.910290,https://en.wikipedia.org/w/index.php?search=Lishui%2C+China,https://commons.wikimedia.org/w/index.php?search=Lishui%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
350,Baoshan,City / administrative seat,China,CN,CHN,East and Southeast Asia,Yunnan,25.116260,99.163660,Asia/Shanghai,"2,506,491",SimpleMaps,"935,618","2,506,491","2,431,211",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=25.116260&mlon=99.163660#map=10/25.116260/99.163660,https://en.wikipedia.org/w/index.php?search=Baoshan%2C+China,https://commons.wikimedia.org/w/index.php?search=Baoshan%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
351,Luohe,City / administrative seat,China,CN,CHN,East and Southeast Asia,Henan,33.563940,114.042720,Asia/Shanghai,"2,500,000",SimpleMaps,"1,294,974","2,500,000","2,367,490",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=33.563940&mlon=114.042720#map=10/33.563940/114.042720,https://en.wikipedia.org/w/index.php?search=Luohe%2C+China,https://commons.wikimedia.org/w/index.php?search=Luohe%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
352,Qinbaling,City / urban area (source-defined),China,CN,CHN,Asia,Gansu,35.727800,107.640000,,"2,500,000",SimpleMaps,,"2,500,000","2,211,191",1–4.999 million,Not classified as capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=35.727800&mlon=107.640000#map=10/35.727800/107.640000,https://en.wikipedia.org/w/index.php?search=Qinbaling%2C+China,https://commons.wikimedia.org/w/index.php?search=Qinbaling%2C+China&title=Special:MediaSearch&type=image,SimpleMaps world-cities community mirror,TRUE
353,Mirzapur,City / populated place,India,IN,IND,South Asia,Uttar Pradesh,25.144900,82.565340,Asia/Kolkata,"2,496,970",SimpleMaps,"220,029","2,496,970",,1–4.999 million,Not classified as capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=25.144900&mlon=82.565340#map=10/25.144900/82.565340,https://en.wikipedia.org/w/index.php?search=Mirzapur%2C+India,https://commons.wikimedia.org/w/index.php?search=Mirzapur%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
354,Ankang,City / administrative seat,China,CN,CHN,East and Southeast Asia,Shaanxi,32.680000,109.017220,Asia/Shanghai,"2,493,436",Uploaded starting list,"870,126","1,100,000","2,493,436",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=32.680000&mlon=109.017220#map=10/32.680000/109.017220,https://en.wikipedia.org/w/index.php?search=Ankang%2C+China,https://commons.wikimedia.org/w/index.php?search=Ankang%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
355,Guangyuan,City / administrative seat,China,CN,CHN,East and Southeast Asia,Sichuan,32.442010,105.823000,Asia/Shanghai,"2,484,122",SimpleMaps,"516,424","2,484,122",,1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=32.442010&mlon=105.823000#map=10/32.442010/105.823000,https://en.wikipedia.org/w/index.php?search=Guangyuan%2C+China,https://commons.wikimedia.org/w/index.php?search=Guangyuan%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
356,Huangshi,City / administrative seat,China,CN,CHN,East and Southeast Asia,Hubei,30.247060,115.048140,Asia/Shanghai,"2,471,700",Uploaded starting list,"688,090","2,471,700","2,471,700",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=30.247060&mlon=115.048140#map=10/30.247060/115.048140,https://en.wikipedia.org/w/index.php?search=Huangshi%2C+China,https://commons.wikimedia.org/w/index.php?search=Huangshi%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
357,Cali,City / administrative seat,Colombia,CO,COL,South America,Valle del Cauca Department,3.430540,-76.519900,America/Bogota,"2,471,474",SimpleMaps,"2,392,877","2,471,474",,1–4.999 million,First-order administrative capital,"18,500.00","978,592,000,000.00",https://www.openstreetmap.org/?mlat=3.430540&mlon=-76.519900#map=10/3.430540/-76.519900,https://en.wikipedia.org/w/index.php?search=Cali%2C+Colombia,https://commons.wikimedia.org/w/index.php?search=Cali%2C+Colombia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
358,Anshun,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guizhou,26.250000,105.933330,Asia/Shanghai,"2,470,630",Uploaded starting list,"765,313","2,297,612","2,470,630",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=26.250000&mlon=105.933330#map=10/26.250000/105.933330,https://en.wikipedia.org/w/index.php?search=Anshun%2C+China,https://commons.wikimedia.org/w/index.php?search=Anshun%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
359,Xining,City / administrative seat,China,CN,CHN,East and Southeast Asia,Qinghai,36.625540,101.757390,Asia/Shanghai,"2,467,965",Uploaded starting list,"1,677,177","2,154,000","2,467,965",1–4.999 million,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=36.625540&mlon=101.757390#map=10/36.625540/101.757390,https://en.wikipedia.org/w/index.php?search=Xining%2C+China,https://commons.wikimedia.org/w/index.php?search=Xining%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
360,Fortaleza,City / administrative seat,Brazil,BR,BRA,South America,Ceará,-3.717220,-38.543060,America/Fortaleza,"2,452,185",SimpleMaps,"2,400,000","2,452,185",,1–4.999 million,First-order administrative capital,"19,600.00","4,165,000,000,000.00",https://www.openstreetmap.org/?mlat=-3.717220&mlon=-38.543060#map=10/-3.717220/-38.543060,https://en.wikipedia.org/w/index.php?search=Fortaleza%2C+Brazil,https://commons.wikimedia.org/w/index.php?search=Fortaleza%2C+Brazil&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
361,Guatemala City,City / administrative seat,Guatemala,GT,GTM,Central America and Caribbean,Guatemala,14.640720,-90.513270,America/Guatemala,"2,450,212",SimpleMaps,"994,938","2,450,212",,1–4.999 million,National capital,"12,600.00","232,673,000,000.00",https://www.openstreetmap.org/?mlat=14.640720&mlon=-90.513270#map=10/14.640720/-90.513270,https://en.wikipedia.org/w/index.php?search=Guatemala+City%2C+Guatemala,https://commons.wikimedia.org/w/index.php?search=Guatemala+City%2C+Guatemala&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
362,Douala,City / administrative seat,Cameroon,CM,CMR,Africa,Littoral,4.048270,9.704280,Africa/Douala,"2,446,945",SimpleMaps,"1,338,082","2,446,945",,1–4.999 million,First-order administrative capital,"4,900.00","143,264,000,000.00",https://www.openstreetmap.org/?mlat=4.048270&mlon=9.704280#map=10/4.048270/9.704280,https://en.wikipedia.org/w/index.php?search=Douala%2C+Cameroon,https://commons.wikimedia.org/w/index.php?search=Douala%2C+Cameroon&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
363,Dandong,City / populated place,China,CN,CHN,East and Southeast Asia,Liaoning,40.129170,124.394720,Asia/Shanghai,"2,444,697",Uploaded starting list,"631,973","2,400,000","2,444,697",1–4.999 million,Not classified as capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=40.129170&mlon=124.394720#map=10/40.129170/124.394720,https://en.wikipedia.org/w/index.php?search=Dandong%2C+China,https://commons.wikimedia.org/w/index.php?search=Dandong%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
364,Bandung,City / administrative seat,Indonesia,ID,IDN,East and Southeast Asia,West Java,-6.922220,107.606940,Asia/Jakarta,"2,444,160",Bamwor,"2,444,160","2,394,873",,1–4.999 million,First-order administrative capital,"14,500.00","4,102,000,000,000.00",https://www.openstreetmap.org/?mlat=-6.922220&mlon=107.606940#map=10/-6.922220/107.606940,https://en.wikipedia.org/w/index.php?search=Bandung%2C+Indonesia,https://commons.wikimedia.org/w/index.php?search=Bandung%2C+Indonesia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
365,Yaounde,City / administrative seat,Cameroon,CM,CMR,Africa,Centre,3.866670,11.516670,Africa/Douala,"2,440,462",SimpleMaps,"1,299,369","2,440,462",,1–4.999 million,National capital,"4,900.00","143,264,000,000.00",https://www.openstreetmap.org/?mlat=3.866670&mlon=11.516670#map=10/3.866670/11.516670,https://en.wikipedia.org/w/index.php?search=Yaounde%2C+Cameroon,https://commons.wikimedia.org/w/index.php?search=Yaounde%2C+Cameroon&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
366,Zhuhai,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guangdong,22.276940,113.567780,Asia/Shanghai,"2,439,585",Uploaded starting list,"2,207,090","1,891,100","2,439,585",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=22.276940&mlon=113.567780#map=10/22.276940/113.567780,https://en.wikipedia.org/w/index.php?search=Zhuhai%2C+China,https://commons.wikimedia.org/w/index.php?search=Zhuhai%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
367,Medan,City / administrative seat,Indonesia,ID,IDN,East and Southeast Asia,North Sumatra,3.583330,98.666670,Asia/Jakarta,"2,435,252",Bamwor,"2,435,252","2,210,625",,1–4.999 million,First-order administrative capital,"14,500.00","4,102,000,000,000.00",https://www.openstreetmap.org/?mlat=3.583330&mlon=98.666670#map=10/3.583330/98.666670,https://en.wikipedia.org/w/index.php?search=Medan%2C+Indonesia,https://commons.wikimedia.org/w/index.php?search=Medan%2C+Indonesia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
368,Lincang,City / administrative seat,China,CN,CHN,East and Southeast Asia,Yunnan,23.879720,100.094550,Asia/Shanghai,"2,429,497",SimpleMaps,"323,708","2,429,497","2,257,991",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=23.879720&mlon=100.094550#map=10/23.879720/100.094550,https://en.wikipedia.org/w/index.php?search=Lincang%2C+China,https://commons.wikimedia.org/w/index.php?search=Lincang%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
369,Yingkou,City / administrative seat,China,CN,CHN,East and Southeast Asia,Liaoning,40.664720,122.231760,Asia/Shanghai,"2,428,534",Uploaded starting list,"591,159","2,220,000","2,428,534",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=40.664720&mlon=122.231760#map=10/40.664720/122.231760,https://en.wikipedia.org/w/index.php?search=Yingkou%2C+China,https://commons.wikimedia.org/w/index.php?search=Yingkou%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
370,Antalya,City / administrative seat,Türkiye,TR,TUR,Middle East,Antalya,36.908120,30.695560,Europe/Istanbul,"2,426,356",SimpleMaps,"1,344,000","2,426,356",,1–4.999 million,First-order administrative capital,"35,300.00","3,018,000,000,000.00",https://www.openstreetmap.org/?mlat=36.908120&mlon=30.695560#map=10/36.908120/30.695560,https://en.wikipedia.org/w/index.php?search=Antalya%2C+T%C3%BCrkiye,https://commons.wikimedia.org/w/index.php?search=Antalya%2C+T%C3%BCrkiye&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
371,Lianshan,City / administrative seat,China,CN,CHN,East and Southeast Asia,Liaoning,40.764320,120.853270,Asia/Shanghai,"2,426,000",Uploaded starting list,"313,247","2,426,000","2,426,000",1–4.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=40.764320&mlon=120.853270#map=10/40.764320/120.853270,https://en.wikipedia.org/w/index.php?search=Lianshan%2C+China,https://commons.wikimedia.org/w/index.php?search=Lianshan%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
